Regulatory gene;Ortholog of the regulatory gene;Target gene;Ortholog of the target gene;Mode of regulation;Reference (PubMed)
algU (AL347_09705);algU;PA2160 (AL347_01770);PA2160;+;Homology from 25780925
algU (AL347_09705);algU;PA2155 (AL347_01800);PA2155;+;Homology from 25780925
algU (AL347_09705);algU;PA2153 (AL347_01810);PA2153 (glgB);+;Homology from 25780925
algU (AL347_09705);algU;PA2152 (AL347_01815);PA2152;+;Homology from 25780925
algU (AL347_09705);algU;PA2151 (AL347_01820);PA2151;+;Homology from 25780925
algU (AL347_09705);algU;PA2150 (AL347_01825);PA2150;+;Homology from 25780925
algU (AL347_09705);algU;PA2149 (AL347_01830);PA2149;+;Homology from 25780925
algU (AL347_09705);algU;PA2148 (AL347_01835);PA2148;+;Homology from 25780925
algU (AL347_09705);algU;PA2147 (AL347_01845);PA2147 (katE);+;Homology from 25780925
algU (AL347_09705);algU;PA2146 (AL347_01850);PA2146;+;Homology from 25780925
algU (AL347_09705);algU;PA2144 (AL347_01860);PA2144;+;Homology from 25780925
algU (AL347_09705);algU;PA2143 (AL347_01865);PA2143;+;Homology from 25780925
algU (AL347_09705);algU;PA2135 (AL347_01915);PA2135;+;Homology from 25780925
algU (AL347_09705);algU;PA2108 (AL347_02070);PA2108;+;Homology from 25780925
algU (AL347_09705);algU;PA2023 (AL347_02490);PA2023 (galU, hasC, gtaB);+;Homology from 25780925
algU (AL347_09705);algU;pqqH (AL347_02660);pqqH;+;Homology from 25780925
algU (AL347_09705);algU;PA1959 (AL347_02820);PA1959 (bacA);+;Homology from 25780925
algU (AL347_09705);algU;PA1958 (AL347_02825);PA1958;+;Homology from 25780925
algU (AL347_09705);algU;PA1957 (AL347_02830);PA1957;+;Homology from 25780925
algU (AL347_09705);algU;PA1870 (AL347_03270);PA1870;+;Homology from 25780925
algU (AL347_09705);algU;PA1857 (AL347_03340);PA1857;+;Homology from 25780925
algU (AL347_09705);algU;PA1833 (AL347_03475);PA1833;+;Homology from 25780925
algU (AL347_09705);algU;PA1832 (AL347_03480);PA1832;+;Homology from 25780925
algU (AL347_09705);algU;PA1745 (AL347_03970);PA1745;+;Homology from 25780925
algU (AL347_09705);algU;PA1744 (AL347_03975);PA1744;+;Homology from 25780925
algU (AL347_09705);algU;PA1743 (AL347_03980);PA1743;+;Homology from 25780925
algU (AL347_09705);algU;hsiF2 (AL347_04415);hsiF2;+;Homology from 25780925
algU (AL347_09705);algU;hsiC2 (AL347_04420);hsiC2;+;Homology from 25780925
algU (AL347_09705);algU;hsiB2 (AL347_04425);hsiB2;+;Homology from 25780925
algU (AL347_09705);algU;hsiA2 (AL347_04430);hsiA2;+;Homology from 25780925
algU (AL347_09705);algU;PA1616 (AL347_04645);PA1616;+;Homology from 25780925
algU (AL347_09705);algU;PA1615 (AL347_04650);PA1615;+;Homology from 25780925
algU (AL347_09705);algU;PA1614 (AL347_04655);PA1614 (gpsA, gpdA);+;Homology from 25780925
algU (AL347_09705);algU;fabA (AL347_04675);fabA;+;Homology from 25780925
algU (AL347_09705);algU;PA1609 (AL347_04680);PA1609 (fabB);+;Homology from 25780925
algU (AL347_09705);algU;PA1605 (AL347_04700);PA1605;+;Homology from 25780925
algU (AL347_09705);algU;PA1594 (AL347_04755);PA1594;+;Homology from 25780925
algU (AL347_09705);algU;PA1593 (AL347_04760);PA1593;+;Homology from 25780925
algU (AL347_09705);algU;PA1579 (AL347_04830);PA1579;+;Homology from 25780925
algU (AL347_09705);algU;PA1578 (AL347_04840);PA1578;+;Homology from 25780925
algU (AL347_09705);algU;PA1577 (AL347_04845);PA1577;+;Homology from 25780925
algU (AL347_09705);algU;PA1573 (AL347_04865);PA1573;+;Homology from 25780925
algU (AL347_09705);algU;PA1572 (AL347_04870);PA1572;+;Homology from 25780925
algU (AL347_09705);algU;PA1571 (AL347_04875);PA1571;+;Homology from 25780925
algU (AL347_09705);algU;PA1562 (AL347_04930);PA1562  (acnA, acn);+;Homology from 25780925
algU (AL347_09705);algU;PA1408 (AL347_05780);PA1408;+;Homology from 25780925
algU (AL347_09705);algU;PA1324 (AL347_06485);PA1324;+;Homology from 25780925
algU (AL347_09705);algU;PA1323 (AL347_06490);PA1323;+;Homology from 25780925
algU (AL347_09705);algU;PA1295 (AL347_06635);PA1295;+;Homology from 25780925
algU (AL347_09705);algU;PA1294 (AL347_06640);PA1294 (rnd);+;Homology from 25780925
algU (AL347_09705);algU;PA1288 (AL347_06670);PA1288;+;Homology from 25780925
algU (AL347_09705);algU;PA1270 (AL347_06760);PA1270;+;Homology from 25780925
algU (AL347_09705);algU;PA1170 (AL347_07285);PA1170;+;Homology from 25780925
algU (AL347_09705);algU;PA1116 (AL347_07580);PA1116;+;Homology from 25780925
algU (AL347_09705);algU;PA1115 (AL347_07585);PA1115;+;Homology from 25780925
algU (AL347_09705);algU;PA1114 (AL347_07590);PA1114;+;Homology from 25780925
algU (AL347_09705);algU;PA1111 (AL347_07620);PA1111;+;Homology from 25780925
algU (AL347_09705);algU;PA0967 (AL347_08370);PA0967 (ruvB);+;Homology from 25780925
algU (AL347_09705);algU;PA0962 (AL347_08395);PA0962 (dps);+;Homology from 25780925
algU (AL347_09705);algU;PA0944 (AL347_08495);PA0944 (purN);+;Homology from 25780925
algU (AL347_09705);algU;PA0943 (AL347_08500);PA0943;+;Homology from 25780925
algU (AL347_09705);algU;dctM (AL347_09065);dctM;+;Homology from 25780925
algU (AL347_09705);algU;dctQ (AL347_09070);dctQ;+;Homology from 25780925
algU (AL347_09705);algU;PA0884 (AL347_09075);PA0884;+;Homology from 25780925
algU (AL347_09705);algU;PA0883 (AL347_09080);PA0883;+;Homology from 25780925
algU (AL347_09705);algU;PA0882 (AL347_09085);PA0882;+;Homology from 25780925
algU (AL347_09705);algU;PA0881 (AL347_09090);PA0881;+;Homology from 25780925
algU (AL347_09705);algU;PA0880 (AL347_09095);PA0880;+;Homology from 25780925
algU (AL347_09705);algU;PA0879 (AL347_09100);PA0879;+;Homology from 25780925
algU (AL347_09705);algU;PA0878 (AL347_09105);PA0878;+;Homology from 25780925
algU (AL347_09705);algU;PA0833 (AL347_09350);PA0833;+;Homology from 25780925
algU (AL347_09705);algU;PA0805 (AL347_09485);PA0805;+;Homology from 25780925
algU (AL347_09705);algU;mucD (AL347_09685);mucD;+;Homology from 25780925
algU (AL347_09705);algU;PA0682 (AL347_10140);PA0682 (hxcX);+;Homology from 25780925
algU (AL347_09705);algU;PA0681 (AL347_10145);PA0681 (hxcT);+;Homology from 25780925
algU (AL347_09705);algU;PA0658 (AL347_21170);PA0658;+;Homology from 25780925
algU (AL347_09705);algU;PA0598 (AL347_20870);PA0598;+;Homology from 25780925
algU (AL347_09705);algU;PA0597 (AL347_20865);PA0597;+;Homology from 25780925
algU (AL347_09705);algU;PA0596 (AL347_20860);PA0596;+;Homology from 25780925
algU (AL347_09705);algU;surA (AL347_20850);surA;+;Homology from 25780925
algU (AL347_09705);algU;PA0567 (AL347_20675);PA0567;+;Homology from 25780925
algU (AL347_09705);algU;PA0552 (AL347_20605);PA0552 (pgk);+;Homology from 25780925
algU (AL347_09705);algU;PA0537 (AL347_20530);PA0537;+;Homology from 25780925
algU (AL347_09705);algU;PA0536 (AL347_20525);PA0536;+;Homology from 25780925
algU (AL347_09705);algU;PA0377 (AL347_19695);PA0377;+;Homology from 25780925
algU (AL347_09705);algU;PA0375 (AL347_19685);PA0375 (ftsX);+;Homology from 25780925
algU (AL347_09705);algU;PA0374 (AL347_19680);PA0374 (ftsE);+;Homology from 25780925
algU (AL347_09705);algU;PA0373 (AL347_19675);PA0373 (ftsY);+;Homology from 25780925
algU (AL347_09705);algU;PA0372 (AL347_19670);PA0372;+;Homology from 25780925
algU (AL347_09705);algU;PA0371 (AL347_19665);PA0371;+;Homology from 25780925
algU (AL347_09705);algU;PA0370 (AL347_19660);PA0370;+;Homology from 25780925
algU (AL347_09705);algU;PA0357 (AL347_19590);PA0357 (mutM);+;Homology from 25780925
algU (AL347_09705);algU;PA0355 (AL347_19580);PA0355 (pfpI);+;Homology from 25780925
algU (AL347_09705);algU;PA0354 (AL347_19575);PA0354;+;Homology from 25780925
algU (AL347_09705);algU;PA0333 (AL347_19465);PA0333;+;Homology from 25780925
algU (AL347_09705);algU;PA0332 (AL347_19460);PA0332;+;Homology from 25780925
algU (AL347_09705);algU;PA0329 (AL347_19445);PA0329;+;Homology from 25780925
algU (AL347_09705);algU;PA0309 (AL347_19340);PA0309;+;Homology from 25780925
algU (AL347_09705);algU;gabD (AL347_19100);gabD;+;Homology from 25780925
algU (AL347_09705);algU;PA0232 (AL347_18930);PA0232 (pcaC);+;Homology from 25780925
algU (AL347_09705);algU;triC (AL347_18575);triC;+;Homology from 25780925
algU (AL347_09705);algU;triB (AL347_18570);triB;+;Homology from 25780925
algU (AL347_09705);algU;PA0156 (AL347_18565);PA0156 (triA);+;Homology from 25780925
algU (AL347_09705);algU;PA0138 (AL347_18465);PA0138;+;Homology from 25780925
algU (AL347_09705);algU;PA0137 (AL347_18460);PA0137;+;Homology from 25780925
algU (AL347_09705);algU;PA0136 (AL347_18455);PA0136;+;Homology from 25780925
algU (AL347_09705);algU;PA0134 (AL347_18445);PA0134;+;Homology from 25780925
algU (AL347_09705);algU;PA0071 (AL347_18125);PA0071 (tagR1);+;Homology from 25780925
algU (AL347_09705);algU;PA0062 (AL347_18080);PA0062;+;Homology from 25780925
algU (AL347_09705);algU;PA0061 (AL347_18075);PA0061;+;Homology from 25780925
algU (AL347_09705);algU;PA0060 (AL347_18070);PA0060;+;Homology from 25780925
algU (AL347_09705);algU;PA2754 (AL347_29410);PA2754;+;Homology from 25780925
algU (AL347_09705);algU;PA2751 (AL347_29430);PA2751;+;Homology from 25780925
algU (AL347_09705);algU;PA2706 (AL347_29875);PA2706;+;Homology from 25780925
algU (AL347_09705);algU;PA2705 (AL347_29880);PA2705;+;Homology from 25780925
algU (AL347_09705);algU;PA5566 (AL347_17655);PA5566;+;Homology from 25780925 
algU (AL347_09705);algU;mifS (AL347_17380);mifS;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;mifR (AL347_17375);mifR;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA5487 (AL347_17255);PA5487 (dgcH);+;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA5428 (AL347_16935);PA5428;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;nalD (AL347_24930);nalD;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA3458 (AL347_25425);PA3458;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;phnF (AL347_25825);phnF;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;cpxR (AL347_00500);cpxR;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA3177 (AL347_26935);PA3177;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA3094 (AL347_27385);PA3094;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;sbrI (AL347_28405);sbrI;?;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA2881 (AL347_28480);PA2881;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA2798 (AL347_28910);PA2798;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA2797 (AL347_28915);PA2797;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA2704 (AL347_29885);PA2704;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA2484 (AL347_32600);PA2484;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA2417 (AL347_32940);PA2417;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA2281 (AL347_00655);PA2281;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;ptxR (AL347_33740);ptxR;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;mucC (AL347_09690);mucC;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA0356 (AL347_19585);PA0356;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA0225 (AL347_18895);PA0225;+;Homology from 25780925, 29729420
algU (AL347_09705);algU;PA3952 (AL347_22951);PA3952;+;22587778
algU (AL347_09705);algU;PA1053 (AL347_07915);PA1053;+;22587778, 27242034*
algU (AL347_09705);algU;fusA;fusA;?;27242034*, 18974177*, 22587778
algU (AL347_09705);algU;fliC (AL347_07715);fliC;?;27242034*
algU (AL347_09705);algU;osmE (AL347_13990);osmE;?;27242034*
algW (AL347_11095);algW;algU (AL347_09705);algU;+;18974177
algW (AL347_11095);algW;algD (AL347_25110);algD;+;18974177
algW (AL347_11095);algW;mucA (AL347_09700);mucA;+;27270273
algZ (AL347_16055);algZ;alg8 (AL347_25105);alg8;+;18440972
algZ (AL347_16055);algZ;alg44 (AL347_25100);alg44;+;18440972
algZ (AL347_16055);algZ;algK (AL347_25095);algK;+;18440972
algZ (AL347_16055);algZ;algE (AL347_25090);algE;+;18440972
algZ (AL347_16055);algZ;algG (AL347_25085);algG;+;18440972
algZ (AL347_16055);algZ;algX (AL347_25080);algX;+;18440972
algZ (AL347_16055);algZ;algL (AL347_25075);algL;+;18440972
algZ (AL347_16055);algZ;algI (AL347_25065);algI;+;18440972
algZ (AL347_16055);algZ;algJ (AL347_25060);algJ;+;18440972
algZ (AL347_16055);algZ;algF (AL347_25055);algF;+;18440972
algZ (AL347_16055);algZ;algA (AL347_25050);algA;+;18440972
algZ (AL347_16055);algZ;fleQ (AL347_07690);fleQ;-;18974177
algZ (AL347_16055);algZ;algZ (AL347_16055);algZ;-;18974177
algZ (AL347_16055);algZ;algD (AL347_25110);algD;+;22088575
algZ (AL347_16055);algZ;exsA (AL347_04135);exsA;-;25070741
amgR (AL347_15735);amgR;mexB (AL347_19950);mexB;+;30289929
amgR (AL347_15735);amgR;oprM (AL347_19955);oprM;+;30289929
ampR (AL347_22150);ampR;PA5514 (AL347_17390);PA5514;-;16120476
ampR (AL347_22150);ampR;lasI (AL347_05605);lasI;-;18974177
ampR (AL347_22150);ampR;lasA (AL347_03265);lasA;-;18974177
ampR (AL347_22150);ampR;lasB (AL347_24155);lasB;+;18974177
ampR (AL347_22150);ampR;creD (AL347_20155);creD;-;22479525
ampR (AL347_22150);ampR;prtR (AL347_20935);prtR;+;22479525
ampR (AL347_22150);ampR;algU (AL347_09705);algU;-;22479525
ampR (AL347_22150);ampR;ampDh3 (AL347_09475);ampDh3;+;22479525
ampR (AL347_22150);ampR;mexT (AL347_32559);mexT;-;22479525
ampR (AL347_22150);ampR;nagZ (AL347_27835);nagZ;+;22479525
ampR (AL347_22150);ampR;rpoS (AL347_24665);rpoS;+;22479525
ampR (AL347_22150);ampR;ampP (AL347_21580);ampP;+;22479525
ampR (AL347_22150);ampR;ampG (AL347_10820);ampG;+;22479525
ampR (AL347_22150);ampR;ampD (AL347_11480);ampD;+;22479525
ampR (AL347_22150);ampR;algB (AL347_17235);algB;-;22479525
ampR (AL347_22150);ampR;ampDh2 (AL347_17245);ampDh2;+;22479525
ampR (AL347_22150);ampR;mexE (AL347_32510);mexE;+;24464693
ampR (AL347_22150);ampR;mexF (AL347_32505);mexF;+;24464693
ampR (AL347_22150);ampR;oprN (AL347_32500);oprN;+;24464693
ampR (AL347_22150);ampR;mvfR (AL347_08190);mvfR;+;25182487
ampR (AL347_22150);ampR;rhlR (AL347_25325);rhlR;+;25182487
ampR (AL347_22150);ampR;poxB (AL347_16240);poxB;+;25182487
ampR (AL347_22150);ampR;PA0149 (AL347_18525);PA0149;?;29729420
ampR (AL347_22150);ampR;femI (AL347_03050);femI;?;29729420
ampR (AL347_22150);ampR;pvdS (AL347_32895);pvdS;?;29729420
ampR (AL347_22150);ampR;sbrI (AL347_28405);sbrI;?;29729420
ampR (AL347_22150);ampR;lasR (AL347_05615);lasR;-;18974177, 25182487
amrZ (AL347_25805);amrZ;PA0038 (AL347_17945);PA0038;-;24603766
amrZ (AL347_25805);amrZ;PA0082 (AL347_18180);PA0082 (tssA1);+;24603766
amrZ (AL347_25805);amrZ;PA0494 (AL347_20305);PA0494;-;24603766
amrZ (AL347_25805);amrZ;vreA (AL347_10180);vreA;+;24603766
amrZ (AL347_25805);amrZ;PA0938 (AL347_08530);PA0938 (wzz2);-;24603766
amrZ (AL347_25805);amrZ;flgE (AL347_07775);flgE;-;24603766
amrZ (AL347_25805);amrZ;flgG (AL347_07765);flgG;-;24603766
amrZ (AL347_25805);amrZ;PA1088 (AL347_07735);PA1088;-;24603766
amrZ (AL347_25805);amrZ;fleQ (AL347_07690);fleQ;-;24603766
amrZ (AL347_25805);amrZ;fliF (AL347_07670);fliF;-;24603766
amrZ (AL347_25805);amrZ;PA1199 (AL347_07135);PA1199;-;24603766
amrZ (AL347_25805);amrZ;PA1340 (AL347_06395);PA1340 (aatM);-;24603766
amrZ (AL347_25805);amrZ;hsiB2 (AL347_04425);hsiB2;-;24603766
amrZ (AL347_25805);amrZ;PA1664 (AL347_04385);PA1664 (orfX);-;24603766
amrZ (AL347_25805);amrZ;PA1668 (AL347_04365);PA1668 (dotU2);-;24603766
amrZ (AL347_25805);amrZ;PA1680 (AL347_04305);PA1680;-;24603766
amrZ (AL347_25805);amrZ;PA1738 (AL347_04005);PA1738;-;24603766
amrZ (AL347_25805);amrZ;PA1784 (AL347_03760);PA1784;+;24603766
amrZ (AL347_25805);amrZ;PA1913 (AL347_03045);PA1913;-;24603766
amrZ (AL347_25805);amrZ;PA1941 (AL347_02910);PA1941;-;24603766
amrZ (AL347_25805);amrZ;pslA (AL347_00910);pslA;-;24603766
amrZ (AL347_25805);amrZ;PA2462 (AL347_32710);PA2462;-;24603766
amrZ (AL347_25805);amrZ;PA2567 (AL347_31795);PA2567;-;24603766
amrZ (AL347_25805);amrZ;PA3019 (AL347_27760);PA3019;-;24603766
amrZ (AL347_25805);amrZ;PA3234 (actP);PA3234;-;24603766
amrZ (AL347_25805);amrZ;PA3235 (AL347_26630);PA3235;-;24603766
amrZ (AL347_25805);amrZ;PA3353 (AL347_25985);PA3353 (flgZ);-;24603766
amrZ (AL347_25805);amrZ;PA3367 (AL347_25915);PA3367;-;24603766
amrZ (AL347_25805);amrZ;PA3401 (AL347_25725);PA3401;-;24603766
amrZ (AL347_25805);amrZ;PA3413 (AL347_25660);PA3413;-;24603766
amrZ (AL347_25805);amrZ;rhlR (AL347_25325);rhlR;-;24603766
amrZ (AL347_25805);amrZ;ygbB (AL347_24640);ygbB;-;24603766
amrZ (AL347_25805);amrZ;PA3951 (AL347_22955);PA3951;-;24603766
amrZ (AL347_25805);amrZ;mucE (AL347_22545);mucE;-;24603766
amrZ (AL347_25805);amrZ;phzA1 (AL347_21625);phzA1;-;24603766
amrZ (AL347_25805);amrZ;PA4222 (AL347_21560);PA4222;-;24603766
amrZ (AL347_25805);amrZ;pctC (AL347_10370);pctC;-;24603766
amrZ (AL347_25805);amrZ;PA4324 (AL347_10465);PA4324;-;24603766
amrZ (AL347_25805);amrZ;PA4683 (AL347_12955);PA4683;-;24603766
amrZ (AL347_25805);amrZ;PA4980 (AL347_14525);PA4980;-;24603766
amrZ (AL347_25805);amrZ;PA5138 (AL347_15345);PA5138;-;24603766
amrZ (AL347_25805);amrZ;nirS (AL347_20430);nirS;+;26755627
amrZ (AL347_25805);amrZ;prtN (AL347_20930);prtN;+;26755627
amrZ (AL347_25805);amrZ;lecA (AL347_31780);lecA;+;26755627
amrZ (AL347_25805);amrZ;lecB (AL347_25945);lecB;+;26755627
amrZ (AL347_25805);amrZ;nosR (AL347_25775);nosR;+;26755627
amrZ (AL347_25805);amrZ;hasAp (AL347_25690);hasAp;+;26755627
amrZ (AL347_25805);amrZ;rhlA (AL347_25315);rhlA;+;26755627
amrZ (AL347_25805);amrZ;hemH (AL347_12795);hemH;-;26755627
amrZ (AL347_25805);amrZ;PA0149 (AL347_18525);PA0149;?;29729420
amrZ (AL347_25805);amrZ;PA1363 (AL347_06280);PA1363;?;29729420
amrZ (AL347_25805);amrZ;sigX (AL347_03799);sigX;?;29729420
amrZ (AL347_25805);amrZ;femI (AL347_03050);femI;?;29729420
amrZ (AL347_25805);amrZ;fpvI (AL347_33080);fpvI;?;29729420
amrZ (AL347_25805);amrZ;pvdS (AL347_32895);pvdS;?;29729420
amrZ (AL347_25805);amrZ;PA0165 (AL347_18610);PA0165;?;31270321
amrZ (AL347_25805);amrZ;PA0428 (AL347_19960);PA0428;?;31270321
amrZ (AL347_25805);amrZ;surA (AL347_20850);surA;?;31270321
amrZ (AL347_25805);amrZ;phdA (AL347_10095);phdA;?;31270321
amrZ (AL347_25805);amrZ;putP (AL347_09600);putP;?;31270321
amrZ (AL347_25805);amrZ;ampDh3 (AL347_09475);ampDh3;?;31270321
amrZ (AL347_25805);amrZ;PA0947 (AL347_08475);PA0947;?;31270321
amrZ (AL347_25805);amrZ;pauA (AL347_08110);pauA;?;31270321
amrZ (AL347_25805);amrZ;shaB (AL347_07905);shaB;?;31270321
amrZ (AL347_25805);amrZ;roeA (AL347_07640);roeA;?;31270321
amrZ (AL347_25805);amrZ;rhlC (AL347_07505);rhlC;?;31270321
amrZ (AL347_25805);amrZ;PA1159 (AL347_07340);PA1159;?;31270321
amrZ (AL347_25805);amrZ;PA1211 (AL347_07075);PA1211;?;31270321
amrZ (AL347_25805);amrZ;cobO (AL347_06750);cobO;?;31270321
amrZ (AL347_25805);amrZ;PA1383 (AL347_06185);PA1383;?;31270321
amrZ (AL347_25805);amrZ;PA1473 (AL347_05400);PA1473;?;31270321
amrZ (AL347_25805);amrZ;PA1736 (AL347_04015);PA1736;?;31270321
amrZ (AL347_25805);amrZ;PA2229 (AL347_00925);PA2229;?;31270321
amrZ (AL347_25805);amrZ;PA2471 (AL347_32665);PA2471;?;31270321
amrZ (AL347_25805);amrZ;PA2504 (AL347_32455);PA2504;?;31270321
amrZ (AL347_25805);amrZ;cobH (AL347_28360);cobH;?;31270321
amrZ (AL347_25805);amrZ;xcpP (AL347_27320);xcpP;?;31270321
amrZ (AL347_25805);amrZ;PA3110 (AL347_27290);PA3110;?;31270321
amrZ (AL347_25805);amrZ;asd (AL347_27255);asd;?;31270321
amrZ (AL347_25805);amrZ;wbpM (AL347_27110);wbpM;?;31270321
amrZ (AL347_25805);amrZ;grxD (AL347_25145);grxD;?;31270321
amrZ (AL347_25805);amrZ;PA3592 (AL347_24825);PA3592;?;31270321
amrZ (AL347_25805);amrZ;dnaE (AL347_24575);dnaE;?;31270321
amrZ (AL347_25805);amrZ;PA3836 (AL347_23560);PA3836;?;31270321
amrZ (AL347_25805);amrZ;PA3854 (AL347_23465);PA3854;?;31270321
amrZ (AL347_25805);amrZ;PA3959 (AL347_22915);PA3959;?;31270321
amrZ (AL347_25805);amrZ;PA4392 (AL347_10815);PA4392;?;31270321
amrZ (AL347_25805);amrZ;magE (AL347_11305);magE;?;31270321
amrZ (AL347_25805);amrZ;oprJ (AL347_12480);oprJ;?;31270321
amrZ (AL347_25805);amrZ;PA4987 (AL347_14565);PA4987;?;31270321
amrZ (AL347_25805);amrZ;mutY (AL347_15400);mutY;?;31270321
amrZ (AL347_25805);amrZ;pstC (AL347_16600);pstC;?;31270321
amrZ (AL347_25805);amrZ;gbdR (AL347_16690);gbdR;?;31270321
